Date,Open,High,Low,Close,Volume,Adj Close
18/11/15,52.419998,53.029999,51.32,52.91,862100,52.91
17/11/15,52.299999,52.98,52,52.470001,168000,52.470001
16/11/15,52.299999,52.700001,51.540001,52.150002,189800,52.150002
13/11/15,53.060001,53.189999,51.93,52.490002,277200,52.490002
12/11/15,51.66,53.23,50.779999,53.029999,383700,53.029999
11/11/15,53.189999,53.380001,51.57,51.700001,316800,51.700001
10/11/15,51.400002,53.330002,51.009998,52.990002,308000,52.990002
09/11/15,52.380001,53.389999,51.540001,52.950001,696000,52.950001
06/11/15,51.5,53.400002,50.48,52.939999,585600,52.939999
05/11/15,54.509998,58.419998,50.459999,53.639999,654900,53.639999
04/11/15,52.18,53.57,52.125,53.110001,445400,53.110001
03/11/15,52.380001,52.439999,51.09,52.110001,330300,52.110001
02/11/15,51.720001,52.919998,49.73,52.419998,375800,52.419998
30/10/15,50.93,52.990002,50.720001,51.880001,376400,51.880001
29/10/15,50.119999,51.5,50.07,50.799999,231100,50.799999
28/10/15,49.34,50.619999,48.84,50.130001,353800,50.130001
27/10/15,49.5,49.970001,48.610001,48.98,223600,48.98
26/10/15,49.41,50,48.720001,49.66,247600,49.66
23/10/15,48.98,49.970001,48.48,49.349998,197800,49.349998
22/10/15,47.880001,49.380001,47.52,48.73,115900,48.73
21/10/15,48.669998,48.720001,47.209999,47.560001,124000,47.560001
20/10/15,49.709999,49.93,48.09,48.650002,123700,48.650002
19/10/15,49.299999,50,48.82,49.700001,147800,49.700001
16/10/15,48.91,49.389999,48.540001,49.369999,206100,49.369999
15/10/15,48.32,49.119999,48.07,48.639999,211100,48.639999
14/10/15,48.470001,48.68,47.009998,47.93,129100,47.93
13/10/15,48.700001,49.09,48.310001,48.389999,141900,48.389999
12/10/15,48.5,49.349998,48.040001,48.799999,126400,48.799999
09/10/15,47.549999,48.700001,47.5,48.560001,201700,48.560001
08/10/15,47.310001,47.470001,46.540001,47.34,135600,47.34
07/10/15,47.330002,47.82,46.290001,47.279999,157000,47.279999
06/10/15,47.849998,48.25,46.369999,47.23,177100,47.23
05/10/15,46.610001,47.82,46.52,47.580002,257000,47.580002
02/10/15,45.369999,46.639999,44.549999,46.439999,151800,46.439999
01/10/15,46.32,46.860001,44.360001,45.740002,420100,45.740002
30/09/15,47.790001,48.27,45.299999,46.369999,374500,46.369999
29/09/15,47.509998,48.110001,47.275002,47.5,315000,47.5
28/09/15,48,48.48,47.330002,47.950001,343900,47.950001
25/09/15,50.130001,50.68,47.709999,48.419998,355000,48.419998
24/09/15,50.639999,50.705002,49.279999,50.02,237900,50.02
23/09/15,51.32,52.317001,49.889999,50.950001,668700,50.950001
22/09/15,51.130001,51.639999,50.860001,51.380001,186500,51.380001
21/09/15,51.200001,52.799999,50,51.849998,657100,51.849998
18/09/15,50.5,52.416,50.25,51.650002,804200,51.650002
17/09/15,48.5,50.599998,48.43,50.580002,403000,50.580002
16/09/15,48.150002,48.700001,47.84,48.599998,199100,48.599998
15/09/15,47.310001,48.189999,46.900002,47.950001,226400,47.950001
14/09/15,49.02,49.02,46.77,47.349998,383500,47.349998
11/09/15,46.779999,49.099998,46.259998,49.07,560700,49.07
10/09/15,46.619999,47.459999,46.060001,46.869999,230200,46.869999
09/09/15,47,47,46.07,46.130001,179900,46.130001
08/09/15,44.889999,46.990002,44.880001,46.860001,219000,46.860001
04/09/15,45.02,45.110001,44.009998,44.52,112400,44.52
03/09/15,46.16,46.200001,45.27,45.619999,146200,45.619999
02/09/15,45.720001,46.014,45.029999,46,160700,46
01/09/15,46.25,47.125,45.169998,45.349998,350500,45.349998
31/08/15,46.150002,47.73,45.82,47.290001,477300,47.290001
28/08/15,45.060001,46.450001,44.849998,46.41,247500,46.41
27/08/15,45.09,45.91,44.07,45.150002,400400,45.150002
26/08/15,44.16,44.799999,43.240002,44.639999,262000,44.639999
25/08/15,43.580002,44.029999,42.790001,43.02,239500,43.02
24/08/15,40.939999,44.150002,40.049999,42.740002,353200,42.740002
21/08/15,44.009998,45.25,42.41,43.389999,316500,43.389999
20/08/15,46,46.450001,45.330002,45.98,244200,45.98
19/08/15,46.900002,47.169998,46.360001,46.509998,94200,46.509998
18/08/15,47.689999,47.925999,46.799999,46.900002,105700,46.900002
17/08/15,47.950001,48.18,46.459999,47.869999,199400,47.869999
14/08/15,46.32,48.25,45.860001,48.009998,254700,48.009998
13/08/15,45.68,47.049999,45.009998,46.23,239600,46.23
12/08/15,47.34,47.34,44.82,45.66,320200,45.66
11/08/15,50.509998,50.540001,46.890999,47.84,392200,47.84
10/08/15,49.130001,51.43,48.650002,51.099998,383100,51.099998
07/08/15,54,54,48.610001,49.66,711300,49.66
06/08/15,52.139999,52.450001,50.029999,50.509998,248200,50.509998
05/08/15,52.299999,53.5,51.810001,52.220001,261500,52.220001
04/08/15,52.639999,53.169998,52.349998,52.98,93300,52.98
03/08/15,53.450001,54.099998,51.516998,52.529999,296500,52.529999
31/07/15,53.529999,54.689999,53.040001,53.950001,193200,53.950001
30/07/15,53.880001,54.009998,52.099998,53.540001,189400,53.540001
29/07/15,52.720001,55.07,51.945,54.119999,269900,54.119999
28/07/15,53.139999,53.950001,51.959999,52.950001,131300,52.950001
27/07/15,52.799999,52.849998,51.790001,52.77,178800,52.77
24/07/15,52.830002,53.619999,52.395,53.299999,343200,53.299999
23/07/15,51.900002,52.869999,51.529999,52.669998,264900,52.669998
22/07/15,50.799999,51.759998,50.779999,51.75,135500,51.75
21/07/15,50.650002,51.130001,49.73,50.759998,81000,50.759998
20/07/15,51.32,51.720001,50.5,50.740002,96700,50.740002
17/07/15,51.799999,51.799999,50.945999,51.279999,74400,51.279999
16/07/15,50.220001,52.200001,50.076,51.669998,212000,51.669998
15/07/15,50.939999,51.450001,49.700001,50.029999,147800,50.029999
14/07/15,50.860001,51.400002,50.720001,51.009998,92400,51.009998
13/07/15,50.68,51.080002,49.23,50.77,218000,50.77
10/07/15,50.529999,50.919998,50.215,50.459999,210100,50.459999
09/07/15,49.869999,50.959999,49.619999,50,150900,50
08/07/15,49.130001,50.169998,48.639999,49.709999,232200,49.709999
07/07/15,47.740002,48.98,46.709999,48.639999,358700,48.639999
06/07/15,47.32,47.990002,46.98,47.93,211400,47.93
02/07/15,49,49.110001,47.259998,47.549999,217700,47.549999
01/07/15,49.98,50.099998,48.5,49.150002,252900,49.150002
30/06/15,48.48,49.700001,48.380001,49.580002,235000,49.580002
29/06/15,48.740002,49.150002,47.990002,48.580002,220100,48.580002
26/06/15,50.619999,50.93,48.830002,49.240002,1140100,49.240002
25/06/15,50.299999,50.790001,48.689999,50.759998,626600,50.759998
24/06/15,50.669998,51.02,50.02,50.279999,266400,50.279999
23/06/15,51.130001,51.169998,49.849998,50.66,345600,50.66
22/06/15,49.540001,51.529999,49.540001,51.220001,377000,51.220001
19/06/15,51.009998,51.080002,49.32,49.540001,734500,49.540001
18/06/15,51.439999,51.860001,50.720001,51.099998,377500,51.099998
17/06/15,51.139999,52.200001,50.959999,51.599998,432300,51.599998
16/06/15,50.869999,51.509998,50.16,50.950001,281000,50.950001
15/06/15,50.099998,51.650002,48.540001,51.040001,546600,51.040001
12/06/15,50.25,51.080002,49.919998,50.82,424400,50.82
11/06/15,50.650002,51.110001,49.93,50.57,230900,50.57
